case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
4954838,pain,33.6612,-117.873,50000 to 100000,daylight,13:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,female,not applicable,0,acura,1991,2,2,6,5,1,1,acura,1,1,1,1,0,1
4954854,property damage only,33.68681,-117.86578,unincorporated,daylight,14:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,57,male,not applicable,0,chevrolet,2004,1,1,1,5,1,1,chevrolet,1,1,1,1,0,1
4954881,property damage only,33.65153,-117.86158,50000 to 100000,daylight,11:00:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,22,male,not applicable,0,acura,2006,1,1,6,5,2,2,acura,1,1,1,1,0,1
4954955,property damage only,33.77611,-117.84414,100000 to 250000,dark with no street lights,02:07:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,18,male,not applicable,0,ford,2001,1,1,7,1,1,2,ford,1,1,1,1,1,1
4956701,other injury,34.23483,-118.28943,>250000,daylight,06:20:00,0,highway,dry,normal,clear,1,proof of insurance obtained,44,female,sleepy/fatigued,0,dodge,2008,2,3,8,5,1,1,dodge,1,1,1,3,0,1
4957064,property damage only,34.05373,-117.54791,100000 to 250000,dusk or dawn,07:00:00,0,highway,wet,normal,raining,1,proof of insurance obtained,27,male,not applicable,0,chevrolet,2010,1,1,7,3,2,4,chevrolet,1,1,1,1,0,1
4957118,property damage only,34.29305,-118.84143,25000 to 50000,dusk or dawn,18:43:00,0,highway,dry,normal,clear,1,proof of insurance obtained,21,male,not applicable,0,ford,1997,1,1,5,3,1,1,ford,1,1,1,1,0,1
4957262,pain,34.07197,-117.90453,100000 to 250000,daylight,07:20:00,0,highway,wet,normal,raining,1,proof of insurance obtained,21,female,not applicable,0,chevrolet,2006,2,2,7,5,2,4,chevrolet,1,1,1,1,0,1
4957410,property damage only,34.17136,-118.50478,>250000,dusk or dawn,16:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,female,not applicable,0,dodge,2008,2,1,8,3,1,1,dodge,1,1,1,1,0,1
4957489,pain,34.0676,-117.98295,50000 to 100000,daylight,17:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,55,male,not applicable,0,ford,1997,1,2,6,5,1,1,ford,1,1,1,1,0,1
4957525,property damage only,33.93559,-118.09295,10000 to 25000,dusk or dawn,06:40:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,19,male,not applicable,0,mercury,1999,1,1,4,3,1,2,mercury,1,1,1,1,0,1
4957755,property damage only,33.91283,-118.13445,100000 to 250000,daylight,16:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,male,not applicable,0,honda,1997,1,1,7,5,1,1,honda,1,1,1,1,0,1
4958321,property damage only,34.3072,-118.4836,>250000,dark with no street lights,04:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,59,male,not applicable,0,infiniti,2008,1,1,8,1,1,1,infiniti,1,1,1,1,1,1
4958386,property damage only,34.14876,-118.28001,>250000,daylight,07:50:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,29,female,not applicable,0,toyota,1998,2,1,8,5,1,1,toyota,2,1,1,1,0,1
4958495,property damage only,34.27933,-118.47057,>250000,daylight,07:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,female,not applicable,0,kia,2008,2,1,8,5,1,1,kia,1,1,1,1,0,1
4958627,property damage only,34.25789,-118.43558,>250000,daylight,07:51:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,female,not applicable,0,bmw,2007,2,1,8,5,1,1,bmw,1,1,1,1,0,1
4958894,property damage only,34.15544,-118.2846,>250000,daylight,10:45:00,0,ramp,dry,normal,cloudy,1,proof of insurance obtained,34,female,not applicable,0,honda,2001,2,1,8,5,1,2,honda,2,1,1,1,0,1
4959542,property damage only,33.77126,-117.99111,100000 to 250000,daylight,18:04:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,27,female,not applicable,0,honda,2002,2,1,7,5,1,2,honda,1,1,1,1,0,1
4959564,property damage only,33.87635,-118.06732,50000 to 100000,daylight,17:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,55,female,not applicable,0,honda,1997,2,1,6,5,1,1,honda,1,1,1,1,0,1
