case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
6857117,other injury,38.27374,-122.68004,50000 to 100000,dark with street lights,20:56:00,0,highway,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,0,toyota,2012,1,3,6,4,1,1,toyota,1,1,1,1,0,3
6857219,property damage only,36.83651,-121.63075,unincorporated,daylight,17:42:00,0,highway,dry,normal,clear,1,proof of insurance obtained,26,male,not applicable,0,chevrolet,2011,1,1,1,5,1,1,chevrolet,1,1,1,1,0,3
6857229,property damage only,37.55663,-122.29929,50000 to 100000,daylight,12:48:00,0,highway,dry,normal,clear,1,proof of insurance obtained,34,male,not applicable,0,jeep,2005,1,1,6,5,1,1,jeep,1,1,1,1,0,3
6857411,pain,36.87401,-121.57089,unincorporated,daylight,17:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,57,male,not applicable,0,toyota,2011,1,2,1,5,1,1,toyota,1,1,1,1,0,3
6857579,property damage only,37.76562,-122.4052,>250000,dark with street lights,20:57:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,male,not applicable,0,freightliner,2012,1,1,8,4,1,1,freightliner,1,1,1,1,0,3
6858620,pain,37.38399,-120.4874,unincorporated,dark with street lights,23:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,29,male,not applicable,0,toyota,2011,1,2,1,4,1,1,toyota,1,1,1,1,0,3
6859977,pain,37.66963,-122.46573,100000 to 250000,daylight,09:55:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,38,female,not applicable,0,honda,2006,2,2,7,5,1,2,honda,1,1,1,1,0,3
6860111,property damage only,37.51627,-121.97897,100000 to 250000,dusk or dawn,07:20:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,73,male,not applicable,0,toyota,2000,1,1,7,3,2,2,toyota,1,1,1,1,0,3
6860145,severe injury,37.86342,-122.03481,unincorporated,dark with street lights,05:40:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,27,male,under drug influence,0,acura,1997,1,4,1,4,1,1,acura,2,1,2,2,0,3
6860163,property damage only,37.671,-122.1103,unincorporated,dark with no street lights,02:12:00,0,highway,dry,normal,clear,1,proof of insurance obtained,41,male,not applicable,0,chevrolet,2001,1,1,1,1,1,1,chevrolet,1,1,1,1,0,3
6860241,property damage only,37.40978,-121.99931,100000 to 250000,daylight,11:00:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,25,female,not applicable,0,honda,1996,2,1,7,5,1,1,honda,2,1,1,1,0,3
6860363,property damage only,37.33172,-121.8961,>250000,daylight,17:30:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,61,male,not applicable,0,toyota,2015,1,1,8,5,1,1,toyota,2,1,1,1,0,3
6860382,property damage only,37.3276,-121.87719,>250000,dark with no street lights,21:20:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,32,male,not applicable,0,chevrolet,2010,1,1,8,1,1,1,chevrolet,1,1,2,1,0,3
6860390,property damage only,37.29,-121.871,>250000,daylight,15:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,64,male,not applicable,0,ford,2011,1,1,8,5,1,1,ford,1,1,1,1,0,3
6860831,property damage only,37.9513,-122.51069,unincorporated,daylight,07:58:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,45,male,not applicable,0,honda,2003,1,1,1,5,1,2,honda,1,1,1,1,0,3
6860853,other injury,38.11697,-122.5644,25000 to 50000,daylight,14:30:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,82,male,not applicable,0,honda,2014,1,3,5,5,1,1,honda,2,1,1,1,0,3
6861218,pain,37.33416,-122.02969,50000 to 100000,daylight,15:14:00,0,highway,dry,normal,clear,1,proof of insurance obtained,28,male,not applicable,0,dodge,2002,1,2,6,5,1,1,dodge,1,1,1,1,0,3
6861250,other injury,38.1641,-122.1625,unincorporated,daylight,17:20:00,1,intersection,dry,normal,clear,1,proof of insurance obtained,32,male,not applicable,0,yamaha,2015,1,3,1,5,1,1,yamaha,3,1,1,1,0,3
6862445,pain,37.3221,-121.9977,100000 to 250000,daylight,08:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,26,male,not applicable,0,toyota,2012,1,2,7,5,1,1,toyota,1,1,1,1,0,3
6862596,other injury,38.10471,-122.23041,100000 to 250000,dark with street lights,22:00:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,18,female,not applicable,0,scion,2008,2,3,7,4,1,1,scion,2,1,1,1,0,3
6863666,pain,37.45503,-122.13206,25000 to 50000,dark with no street lights,20:45:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,39,male,not applicable,0,lincoln,2004,1,2,5,1,1,2,lincoln,1,1,1,1,0,3
6863680,pain,37.64867,-122.09183,100000 to 250000,daylight,07:08:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,30,male,not applicable,0,mazda,2005,1,2,7,5,1,2,mazda,1,1,1,1,0,3
6863826,pain,37.80098,-121.29916,2500 to 10000,daylight,08:07:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,female,not applicable,0,subaru,2008,2,2,3,5,1,1,subaru,1,1,1,1,0,3
6864891,property damage only,37.54878,-122.02392,100000 to 250000,daylight,08:00:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,46,female,not applicable,0,toyota,2000,2,1,7,5,2,2,toyota,2,1,1,1,0,3
6865424,property damage only,38.23891,-122.09524,50000 to 100000,dusk or dawn,06:30:00,0,highway,wet,normal,clear,1,proof of insurance obtained,36,male,not applicable,0,toyota,2008,1,1,6,3,2,1,toyota,1,1,1,1,0,3
6865858,other injury,38.29529,-122.03332,50000 to 100000,daylight,07:45:00,0,ramp,dry,normal,cloudy,1,proof of insurance obtained,26,male,not applicable,0,harley-davidson,2011,1,3,6,5,1,2,harley-davidson,2,1,1,1,0,3
6865988,other injury,37.7695,-122.2185,>250000,dark with street lights,06:40:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,27,male,not applicable,0,ford,1996,1,3,8,4,1,1,ford,1,1,2,1,0,3
6866031,property damage only,37.80763,-122.47634,>250000,daylight,18:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,46,male,not applicable,0,international harvester,2009,1,1,8,5,1,1,international harvester,1,1,1,1,0,3
6866663,property damage only,38.3825,-121.2848,>250000,daylight,15:39:00,0,highway,dry,construction,clear,1,proof of insurance obtained,27,female,not applicable,0,mazda,2002,2,1,8,5,1,1,mazda,1,2,1,1,0,3
6866817,property damage only,37.90259,-121.28559,unincorporated,daylight,16:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,24,female,not applicable,0,chevrolet,1999,2,1,1,5,1,1,chevrolet,1,1,1,1,0,3
6867002,property damage only,38.36092,-121.35538,unincorporated,daylight,09:00:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,40,male,not applicable,0,chevrolet,2013,1,1,1,5,1,2,chevrolet,1,1,1,1,0,3
6868155,property damage only,37.31607,-121.90791,>250000,daylight,15:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,41,male,not applicable,0,honda,1990,1,1,8,5,1,1,honda,1,1,1,1,0,3
6868162,property damage only,37.19988,-121.50703,>250000,dark with street lights,22:05:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,44,female,G,0,honda,2013,2,1,8,4,1,1,honda,2,1,1,1,0,3
6868469,property damage only,37.46287,-122.13579,>250000,daylight,08:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,male,not applicable,0,toyota,2013,1,1,8,5,1,1,toyota,1,1,1,1,0,3
6868530,property damage only,37.80785,-122.27806,>250000,daylight,12:50:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,42,female,sleepy/fatigued,0,toyota,2011,2,1,8,5,1,1,toyota,2,1,1,3,0,3
6869079,property damage only,36.98542,-122.02835,unincorporated,daylight,12:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,0,lexus,1998,1,1,1,5,1,1,lexus,1,1,1,1,0,3
6869084,property damage only,37.7006,-121.7985,50000 to 100000,dark with street lights,01:40:00,0,highway,dry,construction,clear,1,proof of insurance obtained,23,female,not applicable,0,hyundai,2013,2,1,6,4,1,1,hyundai,1,2,1,1,0,3
6869853,severe injury,36.88662,-121.77263,unincorporated,dark with street lights,23:30:00,0,highway,dry,normal,fog,1,no proof of insurance obtained,30,female,not applicable,0,toyota,2005,2,4,1,4,1,5,toyota,1,1,2,1,1,3
6869861,other injury,37.11641,-121.97583,unincorporated,daylight,14:15:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,20,male,not applicable,0,acura,2003,1,3,1,5,2,2,acura,1,1,1,1,0,3
6869964,property damage only,37.42499,-122.22988,unincorporated,daylight,08:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,36,male,not applicable,0,kenworth,2014,1,1,1,5,1,1,kenworth,1,1,1,1,0,3
6870474,pain,37.62621,-122.08088,100000 to 250000,daylight,16:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,45,male,not applicable,0,toyota,2006,1,2,7,5,1,1,toyota,1,1,1,1,0,3
6870632,other injury,37.86743,-122.56493,unincorporated,daylight,13:45:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,25,male,not applicable,0,honda,2008,1,3,1,5,1,2,honda,1,1,1,1,0,3
6870967,severe injury,37.31678,-121.94044,>250000,dark with no street lights,00:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,52,male,not applicable,0,dodge,2005,1,4,8,1,1,1,dodge,1,1,1,1,1,3
6871048,property damage only,37.1644,-121.9896,unincorporated,daylight,14:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,0,honda,1993,1,1,1,5,1,1,honda,1,1,1,1,0,3
6871066,property damage only,37.367,-121.901,>250000,daylight,15:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,65,female,not applicable,0,toyota,2011,2,1,8,5,1,1,toyota,1,1,1,1,0,3
6871269,property damage only,37.60901,-122.06859,100000 to 250000,daylight,08:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,32,male,not applicable,0,ford,2004,1,1,7,5,1,1,ford,1,1,1,1,0,3
6871431,property damage only,36.8588,-121.5753,unincorporated,daylight,15:20:00,0,highway,dry,normal,clear,1,proof of insurance obtained,20,female,not applicable,0,honda,2005,2,1,1,5,1,1,honda,1,1,1,1,0,3
6872450,property damage only,37.49405,-121.94793,100000 to 250000,daylight,16:45:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,25,male,not applicable,0,honda,2011,1,1,7,5,1,1,honda,2,1,1,1,0,3
6872488,property damage only,37.71193,-122.39564,>250000,dark with street lights,20:04:00,0,highway,dry,normal,clear,1,proof of insurance obtained,21,male,not applicable,0,mercedes-benz,2012,1,1,8,4,1,1,mercedes-benz,1,1,1,1,0,3
6872546,property damage only,37.791,-122.38585,>250000,daylight,18:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,47,male,not applicable,0,honda,1994,1,1,8,5,1,1,honda,1,1,1,1,0,3
6872558,property damage only,37.69792,-122.47175,100000 to 250000,daylight,09:15:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,31,male,not applicable,0,dodge,2005,1,1,7,5,1,2,dodge,1,1,1,1,0,3
6873926,pain,37.48827,-122.20837,25000 to 50000,daylight,12:35:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,47,female,not applicable,0,toyota,2007,2,2,5,5,1,1,toyota,2,1,1,1,0,3
6873961,pain,37.19483,-120.48822,unincorporated,daylight,09:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,19,male,not applicable,0,toyota,2008,1,2,1,5,1,1,toyota,1,1,1,1,0,3
6874266,pain,38.41735,-122.71587,100000 to 250000,daylight,16:05:00,0,highway,dry,normal,clear,1,proof of insurance obtained,18,male,not applicable,0,honda,2000,1,2,7,5,1,1,honda,1,1,1,1,0,3
6874338,property damage only,37.29578,-120.31956,unincorporated,daylight,18:15:00,1,intersection,dry,normal,clear,1,no proof of insurance obtained,21,male,not applicable,0,acura,1998,1,1,1,5,1,1,acura,3,1,2,1,0,3
6875046,property damage only,36.98496,-121.97832,unincorporated,dark with no street lights,20:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,33,male,not applicable,0,toyota,2007,1,1,1,1,1,1,toyota,1,1,1,1,1,3
6875107,property damage only,37.1232,-121.97306,unincorporated,daylight,09:43:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,18,male,not applicable,0,ford,2002,1,1,1,5,1,2,ford,1,1,1,1,0,3
6876836,pain,37.73595,-121.12027,10000 to 25000,daylight,06:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,0,toyota,1997,1,2,4,5,1,1,toyota,1,1,1,1,0,3
6877809,property damage only,38.56564,-121.50752,>250000,daylight,11:55:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,51,male,not applicable,0,lexus,2015,1,1,8,5,1,1,lexus,2,1,1,1,0,3
6878629,pain,37.50518,-122.17553,100000 to 250000,daylight,17:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,55,female,not applicable,0,hyundai,2013,2,2,7,5,1,1,hyundai,1,1,1,1,0,3
6878771,property damage only,37.5723,-120.9352,unincorporated,daylight,08:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,0,nissan,2000,1,1,1,5,1,1,nissan,1,1,1,1,0,3
6878813,other injury,38.05823,-122.1302,25000 to 50000,daylight,15:05:00,0,highway,dry,normal,clear,1,proof of insurance obtained,26,male,not applicable,0,subaru,2008,1,3,5,5,1,1,subaru,1,1,1,1,0,3
6879093,property damage only,36.98304,-121.95931,unincorporated,dark with street lights,20:17:00,0,highway,dry,normal,clear,1,proof of insurance obtained,17,male,not applicable,0,dodge,2005,1,1,1,4,1,1,dodge,1,1,1,1,0,3
6879113,property damage only,37.07645,-121.98546,unincorporated,daylight,14:23:00,0,highway,dry,normal,clear,1,proof of insurance obtained,28,male,not applicable,0,dodge,2004,1,1,1,5,1,1,dodge,1,1,1,1,0,3
6879149,property damage only,37.09793,-121.97508,unincorporated,daylight,13:59:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,55,male,under drug influence,0,toyota,2003,1,1,1,5,1,1,toyota,1,1,2,2,0,3
6879404,property damage only,38.18055,-122.18121,50000 to 100000,daylight,11:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,25,male,not applicable,0,dodge,2008,1,1,6,5,1,1,dodge,1,1,1,1,0,3
6879614,pain,37.57686,-122.3498,25000 to 50000,daylight,12:08:00,1,intersection,dry,normal,clear,1,proof of insurance obtained,44,male,not applicable,0,gmc,1997,1,2,5,5,1,1,gmc,3,1,1,1,0,3
6880113,pain,38.5888,-121.55466,25000 to 50000,daylight,14:16:00,0,highway,dry,normal,clear,1,proof of insurance obtained,18,female,not applicable,0,chevrolet,2011,2,2,5,5,1,1,chevrolet,1,1,1,1,0,3
6880726,other injury,38.56928,-121.51388,>250000,dark with street lights,21:20:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,40,male,not applicable,0,harley-davidson,2012,1,3,8,4,1,1,harley-davidson,2,1,1,1,1,3
6880941,property damage only,36.89999,-121.43167,unincorporated,daylight,17:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,20,male,not applicable,0,ford,2005,1,1,1,5,1,1,ford,1,1,1,1,0,3
6881251,property damage only,37.62248,-122.07821,100000 to 250000,daylight,16:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,28,male,not applicable,0,honda,1990,1,1,7,5,1,1,honda,1,1,1,1,0,3
6881371,other injury,37.7991,-122.22111,>250000,daylight,11:20:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,32,female,not applicable,0,toyota,2000,2,3,8,5,1,2,toyota,1,1,1,1,0,3
6882011,property damage only,38.22057,-122.60739,unincorporated,daylight,11:26:00,0,highway,dry,normal,clear,1,proof of insurance obtained,67,male,not applicable,0,ford,2000,1,1,1,5,1,1,ford,1,1,1,1,0,3
6882330,other injury,37.87474,-122.50919,unincorporated,daylight,08:38:00,0,highway,dry,normal,clear,1,proof of insurance obtained,34,male,not applicable,0,honda,2002,1,3,1,5,1,1,honda,1,1,1,1,0,3
6882832,property damage only,37.92893,-122.06109,50000 to 100000,dark with street lights,02:17:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,23,female,not applicable,0,toyota,1999,2,1,6,4,1,1,toyota,2,1,2,1,1,3
6883183,property damage only,37.45433,-122.13021,50000 to 100000,daylight,17:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,male,sleepy/fatigued,0,subaru,2007,1,1,6,5,1,1,subaru,1,1,1,3,0,3
6883191,property damage only,37.57142,-122.26453,25000 to 50000,dark with street lights,01:55:00,0,highway,dry,construction,cloudy,1,proof of insurance obtained,20,male,not applicable,0,hyundai,2013,1,1,5,4,1,2,hyundai,1,2,1,1,0,3
6883424,pain,37.57397,-122.04695,50000 to 100000,daylight,08:38:00,0,highway,dry,normal,clear,1,proof of insurance obtained,20,female,not applicable,0,toyota,2009,2,2,6,5,1,1,toyota,1,1,1,1,0,3
6883594,property damage only,37.59412,-121.99154,100000 to 250000,daylight,09:02:00,0,highway,dry,normal,clear,1,proof of insurance obtained,38,female,not applicable,0,honda,1994,2,1,7,5,1,1,honda,1,1,1,1,0,3
6884039,pain,38.55985,-121.47573,>250000,daylight,15:15:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,18,male,not applicable,0,nissan,2001,1,2,8,5,2,2,nissan,2,1,1,1,0,3
6884821,property damage only,38.5833,-121.55816,25000 to 50000,daylight,10:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,60,female,not applicable,0,ford,2012,2,1,5,5,1,1,ford,1,1,1,1,0,3
6885004,property damage only,37.9574,-121.3296,100000 to 250000,daylight,16:35:00,0,highway,dry,construction,clear,1,no proof of insurance obtained,22,male,not applicable,0,honda,1994,1,1,7,5,1,1,honda,1,2,2,1,0,3
6885269,property damage only,36.85908,-121.62498,unincorporated,daylight,14:10:00,0,highway,dry,construction,clear,1,proof of insurance obtained,59,male,not applicable,0,mercury,1997,1,1,1,5,1,1,mercury,1,2,1,1,0,3
6885622,pain,37.91411,-122.32546,50000 to 100000,dark with street lights,05:28:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,31,male,not applicable,0,lincoln,1999,1,2,6,4,2,2,lincoln,1,1,1,1,0,3
6885739,property damage only,37.78744,-122.18093,>250000,daylight,17:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,70,male,not applicable,0,lexus,1999,1,1,8,5,1,1,lexus,1,1,1,1,0,3
6886621,property damage only,37.43513,-122.11165,>250000,daylight,12:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,60,female,not applicable,0,honda,2004,2,1,8,5,1,1,honda,1,1,1,1,0,3
6889338,other injury,38.13374,-121.39932,unincorporated,daylight,16:43:00,0,highway,dry,normal,clear,1,proof of insurance obtained,26,female,not applicable,0,toyota,2000,2,3,1,5,1,1,toyota,1,1,1,1,0,3
6889433,property damage only,38.46455,-122.72694,100000 to 250000,daylight,16:35:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,25,female,not applicable,0,isuzu,2002,2,1,7,5,2,2,isuzu,1,1,1,1,0,3
6889851,property damage only,37.7888,-122.2518,>250000,daylight,09:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,60,male,not applicable,0,ford,1997,1,1,8,5,1,1,ford,1,1,1,1,0,3
6890527,property damage only,37.45226,-122.17979,25000 to 50000,daylight,12:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,40,male,not applicable,0,chevrolet,2002,1,1,5,5,1,1,chevrolet,1,1,1,1,0,3
6890831,property damage only,37.94228,-121.23499,unincorporated,daylight,14:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,female,not applicable,0,ford,2004,2,1,1,5,1,1,ford,1,1,1,1,0,3
6890917,property damage only,37.30625,-121.94031,>250000,daylight,07:20:00,0,highway,dry,normal,clear,1,proof of insurance obtained,24,female,not applicable,0,toyota,2003,2,1,8,5,1,1,toyota,1,1,1,1,0,3
6890953,property damage only,37.81821,-121.2935,25000 to 50000,daylight,13:05:00,0,highway,dry,normal,clear,1,proof of insurance obtained,73,female,not applicable,0,toyota,1999,2,1,5,5,1,1,toyota,1,1,1,1,0,3
6891535,other injury,37.62407,-122.40106,unincorporated,daylight,17:54:00,0,highway,dry,normal,clear,1,proof of insurance obtained,30,male,not applicable,0,harley-davidson,2006,1,3,1,5,1,1,harley-davidson,1,1,1,1,0,3
6891999,pain,37.06025,-121.58626,unincorporated,dusk or dawn,19:50:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,24,female,not applicable,0,honda,1997,2,2,1,3,1,1,honda,2,1,1,1,0,3
